customer_id,name,email,zip_code,created_at
1,Customer1,customer1@example.com,10001,2023-03-06
2,Customer2,customer2@example.com,10002,2022-04-18
3,Customer3,customer3@example.com,10003,2023-09-12
4,Customer4,customer4@example.com,10004,2022-05-13
5,Customer5,customer5@example.com,10005,2024-02-03
6,Customer6,customer6@example.com,10006,2022-11-22
7,Customer7,customer7@example.com,10007,2023-09-11
8,Customer8,customer8@example.com,10008,2023-08-27
9,Customer9,customer9@example.com,10009,2024-03-20
10,Customer10,customer10@example.com,10010,2023-08-29
11,Customer11,customer11@example.com,10011,2023-04-01
12,Customer12,customer12@example.com,10012,2023-05-25
13,Customer13,customer13@example.com,10013,2022-10-06
14,Customer14,customer14@example.com,10014,2022-11-03
15,Customer15,customer15@example.com,10015,2022-02-28
16,Customer16,customer16@example.com,10016,2022-03-16
17,Customer17,customer17@example.com,10017,2022-02-25
18,Customer18,customer18@example.com,10018,2022-03-31
19,Customer19,customer19@example.com,10019,2023-05-03
20,Customer20,customer20@example.com,10020,2022-07-20
21,Customer21,customer21@example.com,10021,2024-02-25
22,Customer22,customer22@example.com,10022,2022-08-19
23,Customer23,customer23@example.com,10023,2022-05-02
24,Customer24,customer24@example.com,10024,2023-06-22
25,Customer25,customer25@example.com,10025,2024-04-27
26,Customer26,customer26@example.com,10026,2023-12-14
27,Customer27,customer27@example.com,10027,2024-05-29
28,Customer28,customer28@example.com,10028,2023-12-13
29,Customer29,customer29@example.com,10029,2024-06-14
30,Customer30,customer30@example.com,10030,2023-10-26
31,Customer31,customer31@example.com,10031,2023-08-08
32,Customer32,customer32@example.com,10032,2023-09-01
33,Customer33,customer33@example.com,10033,2022-12-08
34,Customer34,customer34@example.com,10034,2023-05-29
35,Customer35,customer35@example.com,10035,2023-05-31
36,Customer36,customer36@example.com,10036,2022-05-13
37,Customer37,customer37@example.com,10037,2024-03-08
38,Customer38,customer38@example.com,10038,2024-01-15
39,Customer39,customer39@example.com,10039,2024-04-13
40,Customer40,customer40@example.com,10040,2023-05-20
41,Customer41,customer41@example.com,10041,2023-06-02
42,Customer42,customer42@example.com,10042,2024-05-29
43,Customer43,customer43@example.com,10043,2024-02-08
44,Customer44,customer44@example.com,10044,2023-06-18
45,Customer45,customer45@example.com,10045,2022-08-02
46,Customer46,customer46@example.com,10046,2023-11-08
47,Customer47,customer47@example.com,10047,2024-05-04
48,Customer48,customer48@example.com,10048,2023-12-18
49,Customer49,customer49@example.com,10049,2023-11-24
50,Customer50,customer50@example.com,10050,2024-06-18
51,Customer51,customer51@example.com,10051,2023-10-20
52,Customer52,customer52@example.com,10052,2023-02-18
53,Customer53,customer53@example.com,10053,2024-05-26
54,Customer54,customer54@example.com,10054,2023-10-21
55,Customer55,customer55@example.com,10055,2022-06-13
56,Customer56,customer56@example.com,10056,2022-07-16
57,Customer57,customer57@example.com,10057,2023-04-02
58,Customer58,customer58@example.com,10058,2022-01-31
59,Customer59,customer59@example.com,10059,2023-06-13
60,Customer60,customer60@example.com,10060,2024-05-31
61,Customer61,customer61@example.com,10061,2023-02-11
62,Customer62,customer62@example.com,10062,2024-01-07
63,Customer63,customer63@example.com,10063,2023-12-02
64,Customer64,customer64@example.com,10064,2023-12-09
65,Customer65,customer65@example.com,10065,2023-03-01
66,Customer66,customer66@example.com,10066,2023-12-09
67,Customer67,customer67@example.com,10067,2023-01-06
68,Customer68,customer68@example.com,10068,2023-04-14
69,Customer69,customer69@example.com,10069,2023-01-02
70,Customer70,customer70@example.com,10070,2023-08-26
71,Customer71,customer71@example.com,10071,2022-11-09
72,Customer72,customer72@example.com,10072,2023-12-28
73,Customer73,customer73@example.com,10073,2023-07-15
74,Customer74,customer74@example.com,10074,2022-08-01
